seq[766], delay = 1717200
seq[767], delay = 1812700
seq[768], delay = 1888100
seq[769], delay = 7441800
seq[770], delay = 9996500
seq[771], delay = 3434800
seq[772], delay = 1586000
seq[773], delay = 1570000
seq[774], delay = 2448600
seq[775], delay = 6089400
seq[776], delay = 1921200
seq[777], delay = 1569500
seq[778], delay = 2620600
seq[779], delay = 5051600
seq[780], delay = 1873400
seq[781], delay = 2105100
seq[782], delay = 82762000
seq[783], delay = 20332200
seq[784], delay = 41732500
seq[785], delay = 1900400
seq[786], delay = 1594400
seq[787], delay = 2315000
seq[788], delay = 1712900
seq[789], delay = 2086800
seq[790], delay = 3513700
seq[791], delay = 2651200
seq[792], delay = 2015600
seq[793], delay = 7307500
seq[794], delay = 1460000
seq[795], delay = 2319800
seq[796], delay = 2072500
seq[797], delay = 1739700
seq[798], delay = 1461600
seq[799], delay = 2256100
seq[800], delay = 2219200
seq[801], delay = 3528300
seq[802], delay = 2492200
seq[803], delay = 2239500
seq[804], delay = 2489900
seq[805], delay = 1764500
seq[806], delay = 26557600
seq[807], delay = 1839100
seq[808], delay = 2849500
seq[809], delay = 2033500
seq[810], delay = 3742500
seq[811], delay = 1977400
seq[812], delay = 2036800
seq[813], delay = 2287900
seq[814], delay = 1826600
seq[815], delay = 1972400
seq[816], delay = 2351900
seq[817], delay = 1986100
seq[818], delay = 2015700
seq[819], delay = 1793400
seq[820], delay = 2182300
seq[821], delay = 1992800
seq[822], delay = 2001800
seq[823], delay = 1783200
seq[824], delay = 2007200
seq[825], delay = 1755000
seq[826], delay = 1769200
seq[827], delay = 3206500
seq[828], delay = 10047400
seq[829], delay = 1552600
seq[830], delay = 2082800
seq[831], delay = 1702900
seq[832], delay = 3392200
seq[833], delay = 1592300
seq[834], delay = 10302900
seq[835], delay = 1590000
seq[836], delay = 1622700
seq[837], delay = 7552800
seq[838], delay = 1478300
seq[839], delay = 2283500
seq[840], delay = 1932300
seq[841], delay = 1448400
seq[842], delay = 21516700
seq[843], delay = 1915900
seq[844], delay = 4927300
seq[845], delay = 1488400
seq[846], delay = 1540600
seq[847], delay = 2105400
seq[848], delay = 2222500
seq[849], delay = 2957400
seq[850], delay = 1596000
seq[851], delay = 1816900
seq[852], delay = 1589500
seq[853], delay = 10253300
seq[854], delay = 1538200
seq[855], delay = 2167800
seq[856], delay = 11343900
seq[857], delay = 1533700
seq[858], delay = 1525500
seq[859], delay = 1797700
seq[860], delay = 1827700
seq[861], delay = 1501300
seq[862], delay = 3705600
seq[863], delay = 1581500
seq[864], delay = 1554200
seq[865], delay = 2991100
seq[866], delay = 6425800
seq[867], delay = 2945400
seq[868], delay = 2111900
seq[869], delay = 1391400
seq[870], delay = 3792400
seq[871], delay = 2171900
seq[872], delay = 2853600
seq[873], delay = 1650500
seq[874], delay = 1887400
seq[875], delay = 1662100
seq[876], delay = 2806500
seq[877], delay = 2018400
seq[878], delay = 1628100
seq[879], delay = 2856000
seq[880], delay = 1789400
seq[881], delay = 1602000
seq[882], delay = 10090700
seq[883], delay = 1557400
seq[884], delay = 1704900
seq[885], delay = 1717200
seq[886], delay = 1537000
seq[887], delay = 2130000
seq[888], delay = 1585900
seq[889], delay = 1613500
seq[890], delay = 2190600
seq[891], delay = 1510800
seq[892], delay = 1733800
seq[893], delay = 2058700
seq[894], delay = 1909200
seq[895], delay = 1558800
seq[896], delay = 2147100
seq[897], delay = 1732400
seq[898], delay = 6666300
seq[899], delay = 2048400
seq[900], delay = 2779200
seq[901], delay = 1873900
seq[902], delay = 4417200
seq[903], delay = 3259000
seq[904], delay = 1509900
seq[905], delay = 1996000
seq[906], delay = 1696900
seq[907], delay = 10092900
seq[908], delay = 2490800
seq[909], delay = 1606900
seq[910], delay = 1452600
seq[911], delay = 9787100
seq[912], delay = 1774300
seq[913], delay = 10205900
seq[914], delay = 1851100
seq[915], delay = 1667000
seq[916], delay = 1651200
seq[917], delay = 1407300
seq[918], delay = 1674500
seq[919], delay = 10273400
seq[920], delay = 1525300
seq[921], delay = 1577000
seq[922], delay = 2927100
seq[923], delay = 1990800
seq[924], delay = 1675300
seq[925], delay = 2561900
seq[926], delay = 1644700
seq[927], delay = 1756300
seq[928], delay = 2302400
seq[929], delay = 9980500
seq[930], delay = 2612300
seq[931], delay = 10224800
seq[932], delay = 2790900
seq[933], delay = 1792900
seq[934], delay = 2147600
seq[935], delay = 2491700
seq[936], delay = 1715200
seq[937], delay = 4556000
seq[938], delay = 4755700
seq[939], delay = 1756700
seq[940], delay = 2081200
seq[941], delay = 1694600
seq[942], delay = 1687200
seq[943], delay = 1858600
seq[944], delay = 1788600
seq[945], delay = 1578500
seq[946], delay = 1510600
seq[947], delay = 2463900
seq[948], delay = 1792000
seq[949], delay = 1880600
seq[950], delay = 1738300
seq[951], delay = 3911100
seq[952], delay = 4671600
seq[953], delay = 1643000
seq[954], delay = 5091900
seq[955], delay = 3336800
seq[956], delay = 1832100
seq[957], delay = 23362900
seq[958], delay = 1575600
seq[959], delay = 53373200
seq[960], delay = 1463700
seq[961], delay = 2522300
seq[962], delay = 1692200
seq[963], delay = 3843500
seq[964], delay = 2371400
seq[965], delay = 2737300
seq[966], delay = 2052400
seq[967], delay = 1687900
seq[968], delay = 1840500
seq[969], delay = 1721900
seq[970], delay = 3622300
seq[971], delay = 4804200
seq[972], delay = 1871600
seq[973], delay = 1724700
seq[974], delay = 1917100
seq[975], delay = 1378400
seq[976], delay = 1577100
seq[977], delay = 14878000
seq[978], delay = 2838900
seq[979], delay = 1974300
seq[980], delay = 1705000
seq[981], delay = 1812900
seq[982], delay = 3726800
seq[983], delay = 1584700
seq[984], delay = 1808200
seq[985], delay = 1708200
seq[986], delay = 5577100
seq[987], delay = 1565700
seq[988], delay = 2176400
seq[989], delay = 1966100
seq[990], delay = 1417200
seq[991], delay = 12726900
seq[992], delay = 1931200
seq[993], delay = 3035600
seq[994], delay = 1745700
seq[995], delay = 10051800
seq[996], delay = 3998900
seq[997], delay = 4558200
seq[998], delay = 5552800
seq[999], delay = 1922500
seq[1000], delay = 1819000
seq[1001], delay = 1671300
seq[1002], delay = 1678100
seq[1003], delay = 1474600
seq[1004], delay = 1678700
seq[1005], delay = 7388500
seq[1006], delay = 10400300
seq[1007], delay = 1767400
seq[1008], delay = 1519400
seq[1009], delay = 1860900
seq[1010], delay = 14644900
seq[1011], delay = 5824700
seq[1012], delay = 9962300
seq[1013], delay = 1631200
seq[1014], delay = 7872200
seq[1015], delay = 1659300
seq[1016], delay = 1846200
seq[1017], delay = 4825000
seq[1018], delay = 1712200
seq[1019], delay = 3391400
seq[1020], delay = 1715800
seq[1021], delay = 1642600
seq[1022], delay = 1505200
seq[1023], delay = 1685400
seq[1024], delay = 3806100
seq[1025], delay = 10190700
seq[1026], delay = 1685400
seq[1027], delay = 15812700
seq[1028], delay = 1678100
seq[1029], delay = 1565300
seq[1030], delay = 2087000
seq[1031], delay = 1806600
seq[1032], delay = 1680600
seq[1033], delay = 1832700
seq[1034], delay = 1637300
seq[1035], delay = 1787100
seq[1036], delay = 2166000
seq[1037], delay = 1957300
seq[1038], delay = 1852800
seq[1039], delay = 1444200
seq[1040], delay = 1349700
seq[1041], delay = 1549500
seq[1042], delay = 1771800
seq[1043], delay = 1690700
seq[1044], delay = 1385700
seq[1045], delay = 3087300
seq[1046], delay = 1696800
seq[1047], delay = 2911000
seq[1048], delay = 1528400
seq[1049], delay = 1502400
seq[1050], delay = 1736900
seq[1051], delay = 1803500
seq[1052], delay = 1835400
seq[1053], delay = 1642900
seq[1054], delay = 2143300
seq[1055], delay = 2683800
seq[1056], delay = 1559600
seq[1057], delay = 3275100
seq[1058], delay = 10391800
seq[1059], delay = 1994100
seq[1060], delay = 5502600
seq[1061], delay = 1635500
seq[1062], delay = 1694000
seq[1063], delay = 1495600
seq[1064], delay = 1557500
seq[1065], delay = 8633300
seq[1066], delay = 1548700
seq[1067], delay = 3127400
seq[1068], delay = 2843900
seq[1069], delay = 1506300
seq[1070], delay = 2114300
seq[1071], delay = 1597700
